50:0f:80:fd:7f:b0
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"156.68,156.68"
"0.0,0.0"
"0.0,0.0"
"278.12,278.12"
"0.0,0.0"
38:90:a5:9d:10:92
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"185.79,185.79"
"0.0,0.0"
50:0f:80:fd:7f:b2
"238.27,238.27"
"180.37,180.37"
"89.48,89.48"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"150.7,150.7"
"0.0,0.0"
"0.0,0.0"
"90.1,90.1"
"0.0,0.0"
50:0f:80:c4:5f:60
"0.0,0.0"
"0.0,0.0"
"107.32,107.32"
"75.89,75.89"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"83.23,83.23"
"71.0,71.0"
"144.71,144.71"
"182.59,182.59"
"196.7,196.7"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
38:90:a5:20:e9:01
"223.34,223.34"
"314.98,314.98"
"301.69,301.69"
"229.84,229.84"
"185.32,185.32"
"203.16,203.16"
"110.77,110.77"
"101.74,101.74"
"97.92,97.92"
"173.91,173.91"
"51.38,51.38"
"37.97,37.97"
"146.51,146.51"
"197.92,197.92"
"0.0,0.0"
"196.9,196.9"
"45.53,45.53"
"77.96,77.96"
"0.0,0.0"
38:90:a5:8f:e7:d2
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"41.95,41.95"
"73.73,73.73"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"26.18,26.18"
"0.0,0.0"
"145.38,145.38"
50:0f:80:fd:85:00
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
"0.0,0.0"
